ID	Hora de inicio	Hora de finalización	Correo electrónico	Nombre	Trabajo en equipo	Liderazgo	Manejo del estrés 	Buena comunicación	Puntualidad y responsabilidad	Resolución de problemas	Proactividad	Respeto hacia las diferentes opiniones de los demás.	De las tecnologías que usted domina ¿qué tan frecuente actualiza su conocimiento sobre estas?	Según su respuesta en la pregunta anterior, justifique las razones de cuán frecuente actualiza su conocimiento en dichas tecnologías	¿Qué tan frecuente aprende nuevas tecnologías?	Según su respuesta en la pregunta anterior, justifique las razones de cuán frecuente aprende nuevas tecnologías	¿Ha laborado o labora actualmente en una entidad bancaria?	Centro de estudio universitario en donde cursó la licenciatura en Ingeniería en Sistemas:	¿Se ha certificado en alguna área perteneciente a la carrera de Ingeniería en Sistemas?	Indique en cuáles áreas se ha certificado: (Puede escoger más de una opción)	¿Cuáles fueron sus motivos para certificarse?	Entidad bancaria en la cual trabaja o ha trabajado:  (Puede escoger más de una opción)	¿En qué área se desempeña o desempeñó en el sector bancario?  (Puede escoger más de una opción)	¿Qué tareas realiza o realizó según el área en donde se desempeña/desempeñó? En caso de haberse desempeñado en más de un área, favor especificar qué tareas corresponden a cada una de las áreas.	¿Qué habilidades o requisitos necesitó para comenzar a laborar en una entidad bancaria? (Puede escoger más de una opción)	¿Qué tecnologías tuvo que aprender o reforzar una vez que comenzó a laborar en un banco?	Conocimientos de lenguajes de programación	Uso de librerías	Uso de frameworks	Desarrollo de aplicaciones web	Desarrollo de aplicaciones de escritorio	Desarrollo de aplicaciones móvil	Desarrollo de dispositivos embebidos	Conocimiento de metodologías de desarrollo (Scrum, Kanban, XP, etc.)	Conocimiento de los diferentes tipos de ataques informáticos (malware, phishing, ataques de aplicación, ataques de red)	Conocimientos de buenas prácticas en seguridad de la información (ISO 27000, COBIT, ITIL)	Conocimientos de protocolos de enrutamiento de redes (RIP, EIGRP, OSPF, etc.)	Conocimientos básicos de redes de datos (creación y administración de VLAN’s, DHCP, etc.)	Conocimiento de operaciones de base de datos (DDL, DML, DCL, TCL)	Conocimiento general de administración de base de datos (ETL, respaldo y recuperación de BD, seguridad de la BD, integridad de los datos, etc.)	Según su experiencia, ¿qué gestores de base de datos debe conocer un ingeniero en sistemas para laborar en una entidad bancaria? (Puede escoger más de una opción)	Según su experiencia, ¿qué sistemas operativos debe saber utilizar un ingeniero en sistemas para poder laborar en una entidad bancaria?  (Puede escoger más de una opción)	Según su experiencia, ¿qué lenguajes de programación debe conocer un ingeniero en sistemas para poder laborar en una entidad bancaria? (Puede escoger más de una opción)	¿Se encuentra actualmente realizando la Práctica Profesional Supervisada (PPS)?	¿Está realizando la PPS en una entidad bancaria?	Entidad bancaria en la cual está realizando la PPS:	¿Actualmente se encuentra cursando la clase de Seminario de Investigación?	¿En cuáles de las siguientes áreas de Ingeniería en Sistemas tiene mayor interés?  (Puede escoger más de una opción)	Explique las razones de su interés en las áreas de la pregunta anterior	Java	JavaScript	C++	Python	C#	PHP	En caso de dominar otros lenguajes que no aparecen en la pregunta anterior, indique cuáles lenguajes domina y el nivel de dominio que posee de cada uno	¿Cómo ha adquirido sus conocimientos en los lenguajes de programación preguntados anteriormente?   (Puede escoger más de una opción)	Uso de librerías2	Uso de frameworks2	Desarrollo de aplicaciones web2	Desarrollo de aplicaciones de escritorio2	Desarrollo de aplicaciones móvil2	Desarrollo de dispositivos embebidos2	Conocimiento de metodologías de desarrollo (Scrum, Kanban, XP, etc.)2	Conocimiento de los diferentes tipos de ataque informáticos (malware, phishing, ataques de aplicación, ataques de red)	Conocimientos de buenas prácticas en seguridad de la información (ISO 27000, COBIT, ITIL)2	Conocimientos de protocolos de enrutamiento de redes (RIP, EIGRP, OSPF, etc.)2	Conocimientos básicos de redes de datos (creación y administración de VLAN’s, DHCP, etc.)2	Conocimiento de operaciones de base de datos (DDL, DML, DCL, TCL)2	Conocimiento general de administración de base de datos (ETL, respaldo y recuperación de BD, seguridad de la BD, integridad de los datos, etc.)	De los siguientes patrones de diseño de software seleccione cuáles conoce:  (Puede escoger más de una opción)	¿Cómo ha adquirido sus conocimientos sobre los conceptos de la pregunta anterior? (Puede escoger más de una opción)	Oracle	SQL Server	MySQL	PostgreSQL	MongoDB	MariaDB	Db2	En caso de dominar otros gestores de base de datos que no aparecen en la pregunta anterior, indique cuáles gestores domina y el nivel de dominio que posee de cada uno	¿Cómo ha adquirido sus conocimientos en los gestores de base de datos preguntados anteriormente?  (Puede escoger más de una opción)	Al momento de diseñar una base de datos, ¿Cuáles de los siguientes principios utiliza?  (Puede escoger más de una opción)	¿Cuáles de los siguientes sistemas operativos sabe usar?  (Puede escoger más de una opción)	¿Cómo ha adquirido sus conocimientos en los sistemas operativos de la pregunta anterior? (Puede escoger más de una opción)	Al momento de buscar empleo ¿qué le interesa más?	¿Qué tanto le interesa trabajar en el sector bancario?	Especifique las razones por las cuales le interesa o no trabajar en el sector bancario	Si le ofrecen un trabajo o pasantía en la que se utilizan tecnologías o herramientas que no conoce ¿Lo aceptaría?	Especifique las razones por las cuales aceptaría o no el trabajo o pasantía
8	7/30/21 17:41:33	7/30/21 17:48:48	anonymous		5	4	5	5	5	4	5	5	Poco frecuente	Las actualizo siempre que lo considero necesario	Frecuente	Trato de mantenerme aprendiendo lo más frecuente que me es posible	No																											No			Sí	Base de datos;Desarrollo de software ;	Son las áreas que más me han gustado de la carrera	2	4	2	3	1	2		Cursos en Línea;Proyectos extracurriculares;Clases de la universidad;	3	4	4	1	0	0	3	4	2	1	3	4	2	Diseño por capas;Arquitectura orientada a servicios;	Cursos en Línea;Clases de la universidad;	3	4	4	4	4	0	0		Clases de la universidad;Cursos en Línea;	Organización eficiente de las tablas;Normalización de la base de datos;Diseño de las relaciones entre tablas;	Windows;Linux;	Clases de la universidad;	Tipo de empresa	Neutro	Para aprender sobre finanzas 	Sí	Es una oportunidad para aprender y ampliar conocimientos
9	7/30/21 17:44:46	7/30/21 17:50:17	anonymous		5	5	5	5	5	5	5	5	Frecuente	Para estar en vanguardia	Frecuente	Para estar en vanguardia	No																											No			Sí	Desarrollo de software ;	Es más dinámica	2	5	3	5	0	2	Typescript 4 Go 2 SQL 5 R 3 	Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;	4	4	5	0	0	0	4	2	2	0	0	5	3	Modelo Vista-Controlador;Microservicios;	Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;Clases de la universidad;	3	4	5	5	2	3	0		Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;Clases de la universidad;	Diseño de las llaves primarias y las llaves foráneas;Diseño de las relaciones entre tablas;Normalización de la base de datos;Organización eficiente de las tablas;	Windows;Linux;	Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;Clases de la universidad;	Tipo de empresa	Poco	No poder innovar	Sí	Crecimiento
10	7/30/21 17:49:04	7/30/21 17:53:27	anonymous		5	5	5	5	5	5	5	5	Poco frecuente	Simplemente cuando necesito aprender algo nuevo	Poco frecuente	Cuando necesito aprender algo nuevo 	No																											No			Sí	Redes de datos;Seguridad informática ;Inteligencia de negocios ;Base de datos;	Son las áreas que más me han llamado la atención en la carrera	3	2	3	3	3	3		Clases de la universidad;	4	3	3	4	2	2	4	4	4	4	4	3	3	Microservicios;	Clases de la universidad;	4	3	3	2	2	2	2		Clases de la universidad;	Normalización de la base de datos;Organización eficiente de las tablas;Diseño de las llaves primarias y las llaves foráneas;	Windows;	Clases de la universidad;	Tipo de empresa	Poco	Trabajo demasiado demandante de tiempo	Sí	Toda oportunidad debe ser considerada
11	7/30/21 17:41:59	7/30/21 17:53:56	anonymous		5	4	4	5	4	4	4	5	Frecuente	Debido a la constante evolucion de nuevas tecnologias, y desuso de otras.	Poco frecuente	Debido al poco tiempo que me queda al realizar las tareas y proyectos.	No																											No			Sí	Base de datos;Seguridad informática ;Desarrollo de software ;Redes de datos;	Me gustaria poder desarrollarme en las distintas areas de la carrera y no limitarme en solo una de estas.	4	3	3	4	0	5		Cursos en Línea;Clases de la universidad;	4	4	5	3	2	0	5	5	5	4	5	5	5	Diseño por capas;Modelo Vista-Controlador;	Cursos en Línea;Clases de la universidad;	0	5	5	0	0	0	0		Cursos en Línea;Clases de la universidad;	Diseño de las relaciones entre tablas;Normalización de la base de datos;Diseño de las llaves primarias y las llaves foráneas;	Windows;Linux;	Cursos en Línea;Clases de la universidad;	El sueldo	Mucho	Debido a que estos cuentan con distintas areas  para poder desarrollar mis habilidades profesionales	Sí	Lo aceptaria, pero le haria saber que no tengo experiencia en ellas , pero me puedo capacitar para adquirir esos conocimientos.
12	7/30/21 17:44:24	7/30/21 17:56:34	anonymous		4	4	5	5	4	3	5	4	Frecuente	Porque siempre tengo dudas de comp hacer las cosas	Frecuente	Porque me sirve para buscar alternativas en otras tecnologías que manejo	No																											No			Sí	Desarrollo de software ;Seguridad informática ;Base de datos;	Porque me gusta la programacion	3	4	2	2	0	4	Sh y seria un 2	Clases de la universidad;Cursos en Línea;	4	3	3	2	0	0	4	4	3	2	1	2	3	Modelo Vista-Controlador;Arquitectura orientada a servicios;Microservicios;	Cursos en Línea;Clases de la universidad;	4	4	4	2	3	3	0	Ningun otro	Cursos en Línea;Clases de la universidad;	Organización eficiente de las tablas;Diseño de las relaciones entre tablas;Normalización de la base de datos;Diseño de las llaves primarias y las llaves foráneas;	Windows;Linux;	Cursos en Línea;Clases de la universidad;Proyectos extracurriculares;	El sueldo	Mucho	Por su respeto por sus normas(horarios y roles) y su estructura organizacional definida	Sí	Para aprender algo nuevo y obtener mas experiencia
13	7/30/21 17:50:51	7/30/21 17:58:11	anonymous		5	5	5	5	5	5	5	5	Frecuente	Debido al trabajo	Poco frecuente	Dependiendo de las nuevas necesidades o mejoras	No																											Sí	No		Sí	Base de datos;Seguridad informática ;Redes de datos;Infraestructura;	Crecimiento profesional	4	4	1	3	1	3		Cursos en Línea;Clases de la universidad;	2	2	4	4	0	0	4	5	4	4	4	4	3	Arquitectura orientada a servicios;Arquitectura dirigida por eventos;Diseño por capas;	Cursos en Línea;Trabajo;	3	3	3	3	3	0	0		Cursos en Línea;Clases de la universidad;Trabajo;	Organización eficiente de las tablas;Diseño de las relaciones entre tablas;Diseño de las llaves primarias y las llaves foráneas;Normalización de la base de datos;	Windows;Linux;	Trabajo;	Funciones a realizar	Neutro	No me llama la atención	Sí	Es nuevo conocimiento
14	7/30/21 17:50:52	7/30/21 18:00:08	anonymous		5	4	4	4	5	4	4	5	Poco frecuente	Poco frecuente 	Poco frecuente	Aprendo las tecnologías requeridas en las asignaturas 	No																											No			Sí	Base de datos;Desarrollo de software ;	Mayor agrado personal	2	3	3	3	0	3		Clases de la universidad;	5	5	2	0	1	0	4	4	4	1	3	5	4	Arquitectura orientada a servicios;	Cursos en Línea;	3	4	3	2	0	0	0		Clases de la universidad;	Organización eficiente de las tablas;Diseño de las relaciones entre tablas;	Windows;	Proyectos extracurriculares;Clases de la universidad;	Funciones a realizar	Mucho	Un sector muy llamativo 	Sí	Porque podría seguir obteniendo más conocimiento sobre áreas que desconozco 
15	7/30/21 17:55:28	7/30/21 18:16:31	anonymous		5	5	5	5	5	5	5	5	Frecuente	Un par de meses. 	Frecuente	Una por trimestre. 	No																											No			Sí	Base de datos;Seguridad informática ;Redes de datos;	Son las áreas en las que me estoy capacitando... 	3	3	3	1	0	2	SQL - 4	Cursos en Línea;Proyectos extracurriculares;Clases de la universidad;	2	2	3	2	1	0	5	4	3	4	4	5	3	Diseño por capas;	Cursos en Línea;	5	4	3	1	0	1	0		Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;Clases de la universidad;	Diseño de las llaves primarias y las llaves foráneas;Diseño de las relaciones entre tablas;Normalización de la base de datos;Organización eficiente de las tablas;	Windows;Linux;	Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;Clases de la universidad;	El sueldo	Mucho	Es un sector con mucho crecimiento y donde se puede hacer carrera. 	Sí	Toda experiencia sirve para seguir creciendo profesionalmente. 
16	7/30/21 18:04:07	7/30/21 18:21:53	anonymous		5	4	5	5	5	5	5	5	Muy frecuente	En desarrollo de software generalmente cada dos años hay una nueva tecnología y cada 6 meses una actualización de las ya conocidas por tanto siempre hay que estar en constante estudio 	Muy fecuente	Constantemente hay que estar aprendiendo nuevas tecnologías porque el campo laboral lo demanda 	No																											No			Sí	Desarrollo de software ;Base de datos;	Desarrollo de software es un ámbito en el cual trabajo como desarrollador, es una área emocionante porque en cada proyecto haces cosas muy diferentes y constantemente actualizas tus habilidades 	4	5	4	5	3	4	Go 3	Proyectos extracurriculares;Clases de la universidad;Cursos en Línea;Trabajos/Pasantías;	5	5	5	3	3	2	5	3	5	5	5	5	5	Modelo Vista-Controlador;Microservicios;Abstract, Factory, Singleton, Adapter;	Trabajos/Pasantías;Cursos en Línea;	4	3	5	5	5	5	0	Redis 4, Cassandra 4	Trabajos/Pasantías;Cursos en Línea;Clases de la universidad;	Normalización de la base de datos;	Linux;Windows;	Clases de la universidad;Trabajos/Pasantías;	Funciones a realizar	Neutro	No me llama mucho porque utilizan sistemas y lenguajes de programación muy antiguos como as400 fortran	Sí	Aceptaría porque es una oportunidad de aprender una tecnología nueva que incrementaría mis habilidades y conocimientos técnicos por ende experiencia laboral y en su defecto mayor oferta laboral y a su mejor salario 
17	7/30/21 21:53:03	7/30/21 22:17:15	anonymous		5	3	3	3	3	5	3	4	Muy frecuente	Utilizo dicho conocimiento para desempeñarme en el trabajo y en algunas clases de la universidad	Muy fecuente	Mi trabajo requiere que este en constante aprendizaje de nuevas tecnologias y tambien por mi cuenta me gusta ser autodidacta	No																											No			Sí	Desarrollo de software ;Inteligencia artificial;	En desarrollo web por la increible demanda laboral que existe y en inteligencia artificial por el gran potencial que tiene para reformular muchas industrias	1	4	2	4	0	5		Cursos en Línea;Trabajos/Pasantías;Clases de la universidad;	4	4	4	3	0	0	1	2	0	2	2	4	2	Modelo Vista-Controlador;Microservicios;Arquitectura orientada a servicios;	Clases de la universidad;Proyectos extracurriculares;Cursos en Línea;Trabajos/Pasantías;	2	4	4	0	2	4	0		Cursos en Línea;Proyectos extracurriculares;Trabajos/Pasantías;Clases de la universidad;	Normalización de la base de datos;Diseño de las relaciones entre tablas;	Windows;Linux;Mac OS;	Proyectos extracurriculares;	Cultura Organizacional	Poco	No me interesa el sector bancario porque los procesos son rigidos y utilizan tecnologias viejas	Sí	Lo aceptaria principalmente para adquirir experiencia laboral que es crucial los primeros años, que fue exactamente lo que hice ya.
18	7/31/21 10:14:26	7/31/21 10:19:56	anonymous		5	3	5	5	5	5	5	5	Frecuente	por curiosidad	Frecuente	bastante seguido	No																											Sí	No		Sí	Desarrollo de software ;Base de datos;	se me hacen mas gratificantes	3	3	0	3	3	4		Cursos en Línea;Clases de la universidad;	3	3	5	0	3	0	5	3	0	4	5	5	3	Modelo Vista-Controlador;	Clases de la universidad;	5	5	5	0	2	0	0		Clases de la universidad;	Diseño de las relaciones entre tablas;Diseño de las llaves primarias y las llaves foráneas;	Windows;	Clases de la universidad;	Funciones a realizar	Mucho	creo que se trabaja con grandes cantidades de transacciones	Sí	por experiencia
19	7/31/21 10:26:29	7/31/21 10:35:18	anonymous		5	5	5	5	5	5	5	4	Frecuente	El constante cambio tecnológico lo requiere 	Frecuente	Me gusta saber un poco de todo, aunque en determinado momento me tendré que especializar en algo 	No																											No			Sí	Desarrollo de software ;Base de datos;	Gustos personales, son las áreas en las que me siento ms cómodo y me llaman mas la atención 	2	5	1	5	2	4	Go:4	Cursos en Línea;Proyectos extracurriculares;	4	4	5	4	2	2	4	4	4	4	4	4	2	Modelo Vista-Controlador;Microservicios;	Cursos en Línea;Proyectos extracurriculares;	3	3	4	5	3	0	2		Cursos en Línea;	Organización eficiente de las tablas;Diseño de las llaves primarias y las llaves foráneas;Diseño de las relaciones entre tablas;Normalización de la base de datos;	Windows;Linux;	Cursos en Línea;Proyectos extracurriculares;Clases de la universidad;	Funciones a realizar	Mucho	Siempre están a la vanguardia respecto a tecnología 	Sí	Puedo aprender en el camino, mi capacidad de aprendisaje es rápida 
20	7/31/21 13:55:33	7/31/21 14:16:13	anonymous		5	3	5	5	5	5	5	5	Frecuente	Nos encontramos en el sector tecnológico que esta en constante desarrollo con nuevas tecnologías, lo cual para estar en la vanguardia de estos conocimientos y no quedarse desactualizado, se tiene que poner al tanto de las tecnologías de su área. 	Frecuente	Por lo general estoy en cursos nuevos, cada vez que termina el periodo académico.	No																											Sí	No		Sí	Desarrollo de software ;Base de datos;Ciencia de datos;	Para el mundo laboral, como ingeniero en sistemas, es de mucha importancia tener la habilidad del desarrollo de software, ya que se podría decir que es la base del ingeniero. El saber Bases de datos, para posteriormente dominar el big data en conjunto con las ciencias de datos, en mi opinión, es en lo que habrá muchas oportunidades laborales y la curva de aprendizaje es muy bueno para desarrollo personal.	3	5	2	2	3	4		Cursos en Línea;Trabajos/Pasantías;Clases de la universidad;	5	4	5	3	2	0	5	3	1	2	2	5	4	Diseño por capas;Modelo Vista-Controlador;Arquitectura orientada a servicios;	Cursos en Línea;Clases de la universidad;Trabajos/Pasantías;	4	4	4	4	4	0	0	Firestore (Firebase) 3	Cursos en Línea;Clases de la universidad;	Organización eficiente de las tablas;Diseño de las llaves primarias y las llaves foráneas;Diseño de las relaciones entre tablas;Normalización de la base de datos;	Windows;Linux;	El uso e investigación de ellos;	El sueldo	Neutro	Si se trabaja en el sector financiero en un banco x, eso le abre puertas en cualquiera de los otros bancos que hay en el país. En lo personal, me gustaría laborar en un lugar donde los proyectos que se desarrollen fueran mas de investigación. 	Sí	Creo que el conocer el mundo financiero en si mismo es beneficioso a manera personal. También podría agrega el beneficio que se tiene al manejar la infraestructura que manejan estos sectores, lo que conlleva a buenas practicas en código y la seguridad de los sistemas. 
21	7/31/21 16:23:10	7/31/21 16:27:00	anonymous		5	5	5	4	5	5	5	5	Frecuente	Poco tiempo	Frecuente	Poco tiempo	No																											Sí	No		Sí	Base de datos;Seguridad informática ;	Estoy sacando una certificación en Base de datos y seguridad siempre me atrajo.	4	1	1	2	0	3		Cursos en Línea;Trabajos/Pasantías;Clases de la universidad;	4	4	4	2	0	0	2	3	2	2	2	4	4	Modelo Vista-Controlador;	Cursos en Línea;Clases de la universidad;	4	2	3	0	0	0	0		Clases de la universidad;Proyectos extracurriculares;Cursos en Línea;	Organización eficiente de las tablas;Diseño de las llaves primarias y las llaves foráneas;Diseño de las relaciones entre tablas;Normalización de la base de datos;	Windows;Linux;	Cursos en Línea;Clases de la universidad;	Funciones a realizar	Neutro	Por los restrictivos que son	Sí	me gusta aprender de lo que pueda y cuando pueda
22	7/31/21 17:30:17	7/31/21 17:35:21	anonymous		5	5	5	5	5	5	4	4	Poco frecuente	Solamente cuando es necesario	Poco frecuente	Tiempo	No																											Sí	No		Sí	Base de datos;Seguridad informática ;Redes de datos;	BI, Auditoria, redes, son trabajos que me gusta desempeñar	3	4	1	1	1	3		Cursos en Línea;Clases de la universidad;	3	3	2	3	1	0	5	5	3	3	4	5	4	Modelo Vista-Controlador;Diseño por capas;Arquitectura orientada a servicios;	Clases de la universidad;	3	4	4	4	2	0	0		Cursos en Línea;Clases de la universidad;Trabajos/Pasantías;	Organización eficiente de las tablas;Diseño de las llaves primarias y las llaves foráneas;Diseño de las relaciones entre tablas;Normalización de la base de datos;	Windows;Linux;	Trabajos/Pasantías;Clases de la universidad;	El sueldo	Mucho	Mayor aprendizaje y adquirir mas experiencia	Sí	Mayor aprendizaje
23	8/1/21 12:18:22	8/1/21 12:28:33	anonymous		5	5	4	5	4	4	4	4	Frecuente	De forma frecuente practico lo aprendido y me actualizo para mejorar mi perfil profesional.	Poco frecuente	Por falta de planeación de tiempo resulta más complicado aprender algo nuevo de forma frecuente.	No																											No			Sí	Desarrollo de software ;Base de datos;	Son las áreas que más me han gustado de la carrera y donde me siento más capacitado.	2	4	1	3	0	3		Clases de la universidad;Cursos en Línea;	4	4	5	2	0	0	3	4	2	2	3	4	4	Modelo Vista-Controlador;Diseño por capas;	Clases de la universidad;	3	5	5	0	3	2	0		Cursos en Línea;Clases de la universidad;	Organización eficiente de las tablas;Diseño de las relaciones entre tablas;	Windows;Linux;	Clases de la universidad;Proyectos extracurriculares;	Funciones a realizar	Neutro	Mi postura es neutra ya que de igual forma me tocaría aprender como se maneja el área de TI.	Sí	Supondría un reto pero si me ofrecen el trabajo me pondría en acción para aprender las tecnologías requeridas.
